"Source:","C:\Users\Joao Vitor Bassani\Desktop\TCC arquivos\projeto_hardware\pci_projeto_kicad\kit_robotica_prototipo.sch"
"Date:","10/25/2020 10:33:00 PM"
"Tool:","Eeschema (5.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","94"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Especificações"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","5V - D12mm - H10mm - PTH",""
"","","C1","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Multicamada 50V - PTH",""
"","","C2","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Multicamada 50V - PTH",""
"","","C3","1uF","Device:CP_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Eletrolítico 16 ~ 400V - PTH",""
"","","D1","LED_A","Device:LED","LED_THT:LED_D3.0mm","5 mm - PTH",""
"","","D2","LED_B","Device:LED","LED_THT:LED_D3.0mm","5 mm - PTH",""
"","","D3","LED_ON","Device:LED","LED_THT:LED_D3.0mm","5 mm - PTH",""
"","","D4","LED_C","Device:LED","LED_THT:LED_D3.0mm","5 mm - PTH",""
"","","D5","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D6","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D7","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D8","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D9","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D10","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D11","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D12","1N4007","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","PTH",""
"","","D13","LED_LOW","Device:LED","LED_THT:LED_D3.0mm","5 mm - PTH",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~",""
"","","H5","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~",""
